Registry,Assignment,Organization Name,Organization Address
MA-S,8C1F64AFA,"DATA ELECTRONIC DEVICES, INC",32 NORTHWESTERN DR SALEM NH US 03079 
MA-S,8C1F649B9,"QUERCUS TECHNOLOGIES, S.L.",Av. Onze de Setembre 19 Reus Tarragona ES 43203 
MA-S,8C1F64D0F,Mecco LLC,290 Executive Drive Cranberry Township PA US 16066 
MA-L,286FB9,"Nokia Shanghai Bell Co., Ltd.","No.388 Ning Qiao Road,Jin Qiao Pudong Shanghai Shanghai   CN 201206 "
MA-M,C85CE27,SYNERGY SYSTEMS AND SOLUTIONS,"A1526, GREEN FIELDS COLONY Faridabad HARYANA IN 121001 "
MA-M,741AE09,Private,
MA-L,08EA44,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,F4EAB5,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,B87CF2,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,E0A129,Extreme Networks Headquarters,2121 RDU Center Drive Morrisville NC US 27560 
MA-L,A8C647,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,A473AB,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,0C9B78,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-M,C85CE2A,"San Telequip (P) Ltd.,","504 505 Deron Heights, Baner Road, Baner Pune Maharashtra IN 411045 "
MA-L,A4C7F6,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,B42D56,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,887E25,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,001977,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,38E2CA,Katun Corporation,7760 France Ave S Suite 340 Bloomington MN US 55438 
MA-S,8C1F643EE,BnB Information Technology,"#813 Kongdanlo140St Goonpo city Gyeonggido Gunpo Gunpo-si/Gyeonggi-do, KR 15847 "
MA-S,8C1F64096,IPCOMM GmbH,Walter-Bouhon-Str. 4 Nuremberg  DE 90427 
MA-L,B05B99,Sagemcom Broadband SAS,"250, route de l'Empereur Rueil Malmaison Cedex hauts de seine FR 92848 "
MA-L,E80AB9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,4CD587,"Aruba, a Hewlett Packard Enterprise Company",3333 Scott Blvd Santa Clara CA US 95054 
MA-M,B84C879,Airgain Inc.,"3611 Valley Centre Dr, Ste 150 San Diego CA US 92130 "
MA-L,78465F,"Fiberhome Telecommunication Technologies Co.,LTD",No.5 DongXin Road Wuhan Hubei CN 430074 
MA-S,8C1F649F8,Exypnos - Creative Solutions LTD,"Hamovil st., Ziporit Industrial Park Nof Hagalil  IL 1710601 "
MA-L,9075DE,Zebra Technologies Inc.,ONE ZEBRA PLAZA HOLTSVILLE NY US 11742 
MA-L,80BA16,Micas Networks Inc.," 250 Tasman Drive, Ste 170, San Jose, CA 95134 San Jose CA US 95134 "
MA-S,8C1F64C16,ALISONIC SRL,via Ercolano 3 Monza mb IT 20900 
MA-L,10E992,INGRAM MICRO SERVICES,100 CHEMIN DE BAILLOT MONTAUBAN  FR 82000 
MA-L,78F276,Cyklop Fastjet Technologies (Shanghai) Inc.,"No 18?Lane 699, Zhang Wengmiao Rd,  Fengxian district, Shanghai China Shanghai  CN 201401 "
MA-S,8C1F64B7A,MG s.r.l.,"via Monte Bianco, 1 Solbiate Olona VA IT 21058 "
MA-L,20F83B,"Nabu Casa, Inc.","8 The Green, Suite 12630 Dover DE US 19901 "
MA-L,F01B24,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-S,8C1F64129,Navtech Radar Ltd.,"Unit 4 Home Farm, Ardington Wantage Oxfordshire GB OX12 8PD "
MA-L,B84C87,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-M,B84C874,Blum Novotest GmbH,Kaufstraße 14 Gruenkraut  DE 88287 
MA-M,D0D94F7,"Mitsubishi Electric US, Inc.",1340 Satellite Boulevard Suwanee GA US 30345 
MA-S,8C1F64055,Intercreate,2325 3rd St. Suite 204 San Francisco CA US 94107 
MA-M,C022F19,MAHINDR & MAHINDRA,"Electric Aggregate Plant, Gate No. – A/B, Plot No. A-1, Phase IV,  Chakan MIDC, Pune, Chakan, Taluka – Khed  Pune Maharashtra IN 410501 "
IAB,40D8550D7,Avant Technologies,Road 156 Caguas West Ind. Park Caguas  PR 00726 
MA-M,C022F12,TSURUGA Electric Corporation,Minami shimiyoshi 1-3-23 Sumiyoshi ward Osaka JP 558-0041 
MA-S,8C1F64CA9,Avant Technologies,"Calle 2 # 4G 15 Villa del Rey, 4TA SEC. Bo. Canaboncito CAGUAS, PR 00727 Caguas PR US 00727 "
MA-M,C022F17,Shenzhen Chengfenghao Electronics Co.;LTD.,"1-3F,101 Building,Unit A,No.2,Longhe industrial zone, Longgang town, Longgang district,Shenzhen, Guangdong, 518116, China  Shenzhen Guangdong CN 518116 "
MA-L,E4F14C,Private,
MA-L,10061C,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,E00630,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,04D168,"Sunplus Technology Co., Ltd.","19, Innovation First Road, Hsinchu Science Park Hsinchu  TW 300 "
MA-L,644C69,CONPROVE,"75, Visconde de Ouro Preto St. Uberlândia Minas Gerais BR 38405-202 "
MA-L,DCD160,"Tianjin Changdatong Technology Co.,LTD","Unit 601, 602, Building 1, Zhongxing Industrial Base, No. 2 East 7th Road, Tianjin Pilot Free Trade Zone (Airport Economic Zone) Tianjin  CN 300308 "
MA-L,644ED7,HP Inc.,10300 Energy Dr Spring TX US 77389 
